New ward code,Year,Population,Square Kilometres,Population per square kilometre
E05014011,2024,18153.5,1.62675,11273.462855473195
E05014011,2025,18306.5,1.62675,11372.428302041804
E05014012,2013,14886.25,1.29175,12088.077556801953
E05014012,2014,14895.5,1.29175,12101.843612313021
E05014012,2015,14927.75,1.29175,12121.234352555546
E05014012,2016,14926.5,1.29175,12102.093616475957
E05014012,2017,15070.25,1.29175,12204.886302978553
E05014012,2018,15293.75,1.29175,12371.730187025072
E05014012,2019,15503.75,1.29175,12527.189905606992
E05014012,2020,15672.5,1.29175,12651.087839433316
E05014012,2021,15894.5,1.29175,12816.948832239572
E05014012,2022,16136.75,1.29175,13000.56793763648
E05014012,2023,16362.75,1.29175,13170.765327175586
E05014012,2024,16584.75,1.29175,13337.968428545746
E05014012,2025,16740.5,1.29175,13456.927452909427
E05014013,2013,15490.5,1.2105000000000001,13158.448968759478
E05014013,2014,15495.5,1.2105000000000001,13170.091497320796
E05014013,2015,15689.5,1.2105000000000001,13353.87915782024
E05014013,2016,15624.5,1.2105000000000001,13309.868188251945
E05014013,2017,15654.0,1.2105000000000001,13342.972778283289
E05014013,2018,15774.0,1.2105000000000001,13451.215119805884
E05014013,2019,15887.5,1.2105000000000001,13552.866873925792
E05014013,2020,15938.5,1.2105000000000001,13599.19687089273
E05014013,2021,16033.5,1.2105000000000001,13683.06414922657
E05014013,2022,16147.5,1.2105000000000001,13783.790188049741
E05014013,2023,16243.0,1.2105000000000001,13867.726974016783
E05014013,2024,16331.5,1.2105000000000001,13946.141062582145
E05014013,2025,16410.5,1.2105000000000001,14016.410120311395
E05014014,2013,14742.5,1.3135,12048.845819417325
E05014014,2014,14787.5,1.3135,12088.966018551328
E05014014,2015,14831.5,1.3135,12114.712833889975
E05014014,2016,14863.0,1.3135,12095.81470535757
E05014014,2017,14902.0,1.3135,12126.390972625359
E05014014,2018,15017.0,1.3135,12218.30636831749
E05014014,2019,15117.0,1.3135,12299.450835965752
E05014014,2020,15192.5,1.3135,12354.521791904464
E05014014,2021,15315.0,1.3135,12447.000424705282
E05014014,2022,15451.0,1.3135,12552.571414570157
E05014014,2023,15569.5,1.3135,12642.897306765379
E05014014,2024,15682.0,1.3135,12728.960753713658
E05014014,2025,15760.5,1.3135,12794.085162204748
E05014015,2013,16478.0,3.208,5136.533665835411
E05014015,2014,16495.0,3.208,5141.832917705736
E05014015,2015,16545.0,3.208,5157.418952618454
E05014015,2016,18104.0,3.208,5643.391521197007
E05014015,2017,19523.0,3.208,6085.72319201995
E05014015,2018,21066.0,3.208,6566.708229426434
E05014015,2019,22644.0,3.208,7058.60349127182
E05014015,2020,24432.0,3.208,7615.960099750623
E05014015,2021,26350.0,3.208,8213.840399002493
E05014015,2022,28298.0,3.208,8821.072319201994
E05014015,2023,30241.0,3.208,9426.745635910223
E05014015,2024,32206.0,3.208,10039.27680798005
E05014015,2025,34025.0,3.208,10606.296758104738
E05014016,2013,15106.5,1.4435,10734.456166750155
E05014016,2014,15162.0,1.4435,10776.68432408127
E05014016,2015,15278.5,1.4435,10862.674733462445
E05014016,2016,15336.0,1.4435,10883.916879331358
E05014016,2017,15375.5,1.4435,10911.274449865698
E05014016,2018,15492.0,1.4435,10992.852642104059
